string,dom_number,dom_x,dom_y,dom_z
90.0,47.0,57.2382094,-83.559966,-292.8685269
90.0,54.0,57.415034,-83.7367906,-313.8685269
93.0,47.0,14.3417906,-80.688784,-292.9914731
93.0,50.0,14.238209399999999,-80.438716,-301.8685269
13.0,19.0,405.83,-306.38,188.76
16.0,35.0,-166.4,-287.79,-81.05
17.0,29.0,-43.27,-267.52,23.54
17.0,30.0,-43.27,-267.52,6.52
17.0,31.0,-43.27,-267.52,-10.5
17.0,32.0,-43.27,-267.52,-27.52
17.0,34.0,-43.27,-267.52,-61.56
18.0,26.0,79.41,-248.24,73.39
18.0,27.0,79.41,-248.24,56.37
18.0,28.0,79.41,-248.24,39.34
18.0,31.0,79.41,-248.24,-11.72
19.0,21.0,210.47,-209.77,156.53
19.0,22.0,210.47,-209.77,139.51
19.0,23.0,210.47,-209.77,122.49
19.0,24.0,210.47,-209.77,105.47
19.0,25.0,210.47,-209.77,88.45
19.0,26.0,210.47,-209.77,71.43
20.0,19.0,326.85,-209.07,192.05
20.0,20.0,326.85,-209.07,175.03
20.0,22.0,326.85,-209.07,140.99
20.0,24.0,326.85,-209.07,106.95
21.0,18.0,443.75,-194.29,227.32
21.0,22.0,443.8,-194.16,159.24
26.0,29.0,1.71,-150.63,20.67
28.0,23.0,248.15,-111.87,123.58
35.0,30.0,-77.8,-54.33,9.1
87.0,74.0,27.0084576,-31.066216,-373.8685269
89.0,71.0,89.34179060000001,-58.873716,-364.8685269
89.0,78.0,89.21391390000001,-58.99875,-386.074662
93.0,98.0,14.29,-80.4876639,-445.785338
93.0,105.0,14.415033999999999,-80.5119594,-466.8685269
22.0,37.0,-492.43,-230.16,-115.14
22.0,39.0,-492.43,-230.16,-149.18
45.0,5.0,-32.96,62.44,427.73
45.0,6.0,-32.96,62.44,410.71
86.0,23.0,-10.97,6.72,-241.1
87.0,41.0,27.0327531,-31.19125,-274.785338
87.0,41.0,27.081701,-31.1394594,-274.8685269
87.0,42.0,26.831633,-31.1394594,-277.8685269
89.0,31.0,89.29,-58.99875,-245.17700000000002
91.0,32.0,47.2139139,-57.0125,-247.785338
91.0,32.0,47.164966,-56.960709400000006,-247.8685269
91.0,56.0,47.29,-57.0885861,-319.785338
92.0,32.0,18.3660861,-51.05375,-248.07466200000002
92.0,54.0,18.415034,-51.1055406,-313.9914731
87.0,78.0,27.0327531,-31.19125,-386.074662
88.0,35.0,62.6751236,-35.038716,-256.8685269
88.0,42.0,62.6994191,-35.16375,-277.785338
88.0,51.0,62.748367,-35.2155406,-304.9914731
89.0,59.0,89.29,-58.9226639,-329.074662
89.0,65.0,89.34179060000001,-59.123784,-346.8685269
90.0,29.0,57.164966,-83.7367906,-238.8685269
90.0,30.0,57.341790599999996,-83.810034,-241.9914731
90.0,45.0,57.29,-83.7610861,-286.785338
92.0,63.0,18.29,-51.1298361,-340.785338
93.0,47.0,14.164966,-80.5119594,-292.8685269
17.0,3.0,-43.27,-267.52,466.08
25.0,12.0,-121.77,-171.03,315.05
26.0,2.0,1.71,-150.63,480.23
26.0,3.0,1.71,-150.63,463.21
26.0,4.0,1.71,-150.63,446.19
26.0,6.0,1.71,-150.63,412.15
26.0,7.0,1.71,-150.63,395.13
26.0,9.0,1.71,-150.63,361.09
26.0,11.0,1.71,-150.63,327.05
26.0,12.0,1.71,-150.63,310.03
26.0,13.0,1.71,-150.63,293.01
26.0,14.0,1.71,-150.63,275.98
26.0,17.0,1.71,-150.63,224.92
26.0,18.0,1.71,-150.63,207.9
26.0,19.0,1.71,-150.63,190.88
26.0,20.0,1.71,-150.63,173.86
26.0,21.0,1.71,-150.63,156.84
26.0,23.0,1.71,-150.63,122.8
26.0,24.0,1.71,-150.63,105.78
26.0,26.0,1.71,-150.63,71.74
26.0,30.0,1.71,-150.63,3.65
26.0,33.0,1.71,-150.63,-47.41
35.0,10.0,-77.8,-54.33,349.52
35.0,21.0,-77.8,-54.33,162.29
35.0,40.0,-77.8,-54.33,-161.1
79.0,16.0,31.25,-72.93,-194.17
79.0,17.0,31.25,-72.93,-201.18
80.0,8.0,72.37,-66.6,117.51
80.0,17.0,72.37,-66.6,-201.88
84.0,7.0,57.2,-105.52,125.95
85.0,10.0,-9.68,-79.5,100.9
85.0,13.0,-9.68,-79.5,-170.43
85.0,14.0,-9.68,-79.5,-177.44
85.0,16.0,-9.68,-79.5,-191.45
88.0,35.0,62.623333,-35.2398361,-256.785338
90.0,15.0,57.29,-83.685,123.317
90.0,24.0,57.29,-83.685,-223.683
91.0,14.0,47.2382094,-57.137534,148.0085269
92.0,31.0,18.29,-51.05375,-244.683
93.0,10.0,14.164966,-80.5119594,298.0085269
93.0,11.0,14.29,-80.56375,272.823
93.0,11.0,14.29,-80.56375,273.317
93.0,22.0,14.29,-80.56375,-217.683
93.0,24.0,14.29,-80.56375,-224.17700000000002
93.0,24.0,14.29,-80.56375,-223.683
93.0,27.0,14.2139139,-80.56375,-232.785338
13.0,7.0,405.83,-306.38,393.01
13.0,8.0,405.83,-306.38,375.99
13.0,9.0,405.83,-306.38,358.97
13.0,11.0,405.83,-306.38,324.93
19.0,14.0,210.47,-209.77,275.67
19.0,18.0,210.47,-209.77,207.59
20.0,14.0,326.85,-209.07,277.15
20.0,16.0,326.85,-209.07,243.11
20.0,17.0,326.85,-209.07,226.09
20.0,23.0,326.85,-209.07,123.97
27.0,24.0,124.97,-131.25,102.18
27.0,26.0,124.97,-131.25,68.14
27.0,27.0,124.97,-131.25,51.12
27.0,28.0,124.97,-131.25,34.09
27.0,29.0,124.97,-131.25,17.07
27.0,30.0,124.97,-131.25,0.05
28.0,28.0,248.15,-111.87,38.47
83.0,9.0,113.19,-60.47,106.23
6.0,3.0,361.0,-422.83,465.47
6.0,4.0,361.0,-422.83,448.45
6.0,6.0,361.0,-422.83,414.41
6.0,7.0,361.0,-422.83,397.39
6.0,8.0,361.0,-422.83,380.37
6.0,9.0,361.0,-422.83,363.35
6.0,14.0,361.0,-422.83,278.24
6.0,15.0,361.0,-422.83,261.22
6.0,21.0,361.0,-422.83,159.1
12.0,15.0,282.18,-325.74,260.15
12.0,22.0,282.18,-325.74,141.01
26.0,37.0,1.71,-150.63,-115.49
26.0,38.0,1.71,-150.63,-132.51
35.0,43.0,-77.8,-54.33,-212.17
45.0,44.0,-32.96,62.44,-236.08
79.0,11.0,31.25,-72.93,-159.13
84.0,17.0,57.2,-105.52,-203.45
85.0,15.0,-9.68,-79.5,-184.45
85.0,17.0,-9.68,-79.5,-198.46
85.0,18.0,-9.68,-79.5,-205.47
85.0,19.0,-9.68,-79.5,-212.48
85.0,24.0,-9.68,-79.5,-247.52
88.0,62.0,62.547246900000005,-35.16375,-338.074662
88.0,69.0,62.6751236,-35.038716,-358.9914731
92.0,23.0,18.164966,-51.001959400000004,-220.9914731
92.0,38.0,18.29,-51.1298361,-266.074662
93.0,21.0,14.29,-80.6398361,-215.07466200000002
93.0,83.0,14.164966,-80.5119594,-400.9914731
49.0,4.0,472.05,127.9,453.21
49.0,5.0,472.05,127.9,436.19
49.0,6.0,472.05,127.9,419.17
58.0,2.0,382.35,238.9,481.52
87.0,65.0,26.9048764,-31.066216,-346.9914731
88.0,41.0,62.6994191,-35.16375,-275.074662
88.0,44.0,62.547246900000005,-35.16375,-284.074662
88.0,103.0,62.623333,-35.16375,-461.177
89.0,50.0,89.415034,-59.0505406,-301.9914731
89.0,56.0,89.2382094,-59.123784,-319.9914731
91.0,50.0,47.415034,-56.960709400000006,-301.9914731
93.0,65.0,14.366086099999999,-80.56375,-347.074662
93.0,69.0,14.3417906,-80.688784,-358.8685269
93.0,78.0,14.3417906,-80.438716,-385.9914731
93.0,98.0,14.29,-80.6398361,-445.785338
93.0,98.0,14.164966,-80.6155406,-445.9914731
13.0,27.0,405.83,-306.38,52.6
20.0,29.0,326.85,-209.07,21.84
21.0,21.0,443.75,-194.17,176.26
27.0,40.0,124.97,-131.25,-170.15
27.0,41.0,124.97,-131.25,-187.18
27.0,44.0,124.97,-131.25,-238.24
27.0,46.0,124.97,-131.25,-272.28
27.0,47.0,124.97,-131.25,-289.3
27.0,48.0,124.97,-131.25,-306.32
28.0,31.0,248.15,-111.87,-12.59
28.0,32.0,248.15,-111.87,-29.61
28.0,39.0,248.15,-111.87,-148.75
28.0,40.0,248.15,-111.87,-165.77
29.0,26.0,371.56,-92.18,77.07
29.0,27.0,371.56,-92.18,59.04
29.0,28.0,371.56,-92.18,43.02
29.0,29.0,371.56,-92.18,25.0
29.0,30.0,371.56,-92.18,8.98
29.0,32.0,371.56,-92.18,-25.06
79.0,27.0,31.25,-72.93,-271.27
79.0,47.0,31.25,-72.93,-411.44
80.0,25.0,72.37,-66.6,-257.95
80.0,29.0,72.37,-66.6,-285.98
83.0,14.0,113.19,-60.47,-182.13
83.0,29.0,113.19,-60.47,-287.25
84.0,21.0,57.2,-105.52,-231.49
84.0,48.0,57.2,-105.52,-420.72
85.0,45.0,-9.68,-79.5,-394.7
87.0,34.0,26.956667,-31.19125,-254.17700000000002
87.0,57.0,27.081701,-31.2430406,-322.8685269
87.0,58.0,26.956667,-31.19125,-325.683
87.0,59.0,27.0084576,-31.316284,-328.8685269
87.0,66.0,26.9048764,-31.066216,-349.9914731
88.0,23.0,62.571542400000006,-35.038716,-220.8685269
88.0,38.0,62.623333,-35.2398361,-266.074662
88.0,41.0,62.571542400000006,-35.288784,-274.9914731
88.0,43.0,62.623333,-35.16375,-281.177
88.0,49.0,62.623333,-35.16375,-299.177
88.0,54.0,62.748367,-35.1119594,-313.8685269
88.0,56.0,62.498299,-35.2155406,-319.8685269
88.0,73.0,62.623333,-35.16375,-370.683
88.0,84.0,62.623333,-35.16375,-403.683
89.0,45.0,89.29,-59.0748361,-287.074662
89.0,46.0,89.29,-58.99875,-289.683
89.0,49.0,89.29,-58.99875,-298.683
89.0,52.0,89.29,-58.99875,-308.177
89.0,53.0,89.34179060000001,-59.123784,-310.9914731
89.0,63.0,89.34179060000001,-58.873716,-340.8685269
89.0,74.0,89.34179060000001,-59.123784,-373.8685269
90.0,23.0,57.415034,-83.7367906,-220.9914731
90.0,31.0,57.29,-83.685,-244.683
90.0,35.0,57.341790599999996,-83.810034,-256.8685269
90.0,38.0,57.2382094,-83.559966,-265.9914731
90.0,41.0,57.164966,-83.6332094,-274.9914731
90.0,45.0,57.415034,-83.7367906,-286.8685269
90.0,49.0,57.29,-83.685,-298.683
90.0,53.0,57.341790599999996,-83.559966,-310.8685269
90.0,65.0,57.415034,-83.7367906,-346.8685269
90.0,69.0,57.341790599999996,-83.810034,-358.8685269
90.0,74.0,57.29,-83.7610861,-373.785338
90.0,76.0,57.29,-83.685,-379.683
91.0,29.0,47.29,-56.936413900000005,-238.785338
91.0,52.0,47.29,-57.0125,-308.177
91.0,62.0,47.3660861,-57.0125,-337.785338
92.0,23.0,18.3417906,-51.178784,-220.9914731
92.0,38.0,18.415034,-51.001959400000004,-265.8685269
92.0,38.0,18.3417906,-50.928716,-265.8685269
92.0,38.0,18.415034,-51.001959400000004,-265.9914731
92.0,39.0,18.415034,-51.1055406,-268.8685269
92.0,45.0,18.29,-50.9776639,-286.785338
92.0,45.0,18.2382094,-51.178784,-286.8685269
92.0,54.0,18.415034,-51.1055406,-313.8685269
92.0,59.0,18.29,-50.9776639,-328.785338
93.0,34.0,14.29,-80.56375,-253.683
93.0,68.0,14.29,-80.6398361,-355.785338
51.0,5.0,-481.6,101.39,433.97
52.0,3.0,-358.44,120.56,464.02
52.0,5.0,-358.44,120.56,429.98
52.0,6.0,-358.44,120.56,412.96
60.0,2.0,-437.04,217.8,484.44
88.0,90.0,62.623333,-35.0876639,-422.074662
93.0,86.0,14.415033999999999,-80.6155406,-409.9914731
93.0,94.0,14.29,-80.56375,-433.683
20.0,13.0,326.85,-209.07,294.18
21.0,12.0,443.96,-194.17,329.45
21.0,13.0,443.95,-194.22,312.43
28.0,18.0,248.15,-111.87,208.68
28.0,22.0,248.15,-111.87,140.6
29.0,21.0,371.56,-92.18,161.17
37.0,22.0,194.34,-30.92,146.66
37.0,23.0,194.34,-30.92,129.64
83.0,26.0,113.19,-60.47,-266.23
88.0,39.0,62.6751236,-35.288784,-268.8685269
88.0,39.0,62.6751236,-35.288784,-268.9914731
88.0,51.0,62.748367,-35.1119594,-304.8685269
88.0,51.0,62.748367,-35.2155406,-304.8685269
88.0,57.0,62.623333,-35.2398361,-322.785338
88.0,57.0,62.748367,-35.2155406,-322.9914731
88.0,69.0,62.748367,-35.1119594,-358.8685269
91.0,32.0,47.29,-57.0885861,-247.785338
89.0,74.0,89.3660861,-58.99875,-374.074662
89.0,99.0,89.164966,-59.0505406,-448.8685269
89.0,105.0,89.164966,-59.0505406,-466.8685269
89.0,110.0,89.415034,-58.946959400000004,-481.8685269
89.0,110.0,89.415034,-59.0505406,-481.8685269
89.0,110.0,89.164966,-58.946959400000004,-481.9914731
90.0,26.0,57.415034,-83.7367906,-229.9914731
90.0,32.0,57.2382094,-83.810034,-247.9914731
90.0,33.0,57.2382094,-83.559966,-250.9914731
91.0,32.0,47.2139139,-57.0125,-248.07466200000002
91.0,80.0,47.2382094,-57.137534,-391.9914731
93.0,105.0,14.3417906,-80.688784,-466.8685269
88.0,41.0,62.623333,-35.0876639,-275.074662
88.0,63.0,62.6751236,-35.038716,-340.8685269
88.0,63.0,62.6751236,-35.038716,-340.9914731
88.0,66.0,62.498299,-35.1119594,-349.9914731
91.0,59.0,47.164966,-57.0642906,-328.9914731
93.0,51.0,14.238209399999999,-80.688784,-304.9914731
93.0,56.0,14.238209399999999,-80.438716,-319.9914731
93.0,78.0,14.29,-80.4876639,-386.074662
93.0,85.0,14.29,-80.56375,-407.177
52.0,7.0,-358.44,120.56,395.94
52.0,9.0,-358.44,120.56,361.9
52.0,10.0,-358.44,120.56,344.88
60.0,8.0,-437.04,217.8,382.32
61.0,3.0,-313.6,237.44,467.15
61.0,7.0,-313.6,237.44,399.07
61.0,9.0,-313.6,237.44,365.03
61.0,10.0,-313.6,237.44,348.01
61.0,14.0,-313.6,237.44,279.92
87.0,22.0,26.956667,-31.19125,-217.683
87.0,63.0,27.081701,-31.2430406,-340.9914731
87.0,65.0,26.9048764,-31.316284,-346.8685269
88.0,26.0,62.623333,-35.0876639,-230.07466200000002
88.0,30.0,62.748367,-35.2155406,-241.8685269
88.0,54.0,62.571542400000006,-35.288784,-313.8685269
88.0,54.0,62.6751236,-35.038716,-313.9914731
